system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
29035_0,17,411,700,597,2898,2399,1312,345
29036_0,12,288,482,362,1923,1791,957,232
29039_0,11,85,253,273,1414,1349,812,20
29040_0,0,392,342,109,49,24,15,339
29044_0,11,262,426,433,1643,1726,1058,185
29045_0,17,506,866,883,2607,2265,1556,401
29047_0,8,29,44,20,274,54,24,21
29051_0,3,517,655,707,1741,1277,903,442
29052_0,7,224,428,304,3368,1610,668,181
29055_0,9,193,253,204,995,484,276,187
29056_0,12,442,747,715,2480,3210,2036,367
29058_0,17,255,492,421,1705,1293,834,209
29065_0,8,57,181,165,1140,766,424,-18
29066_0,12,351,740,370,3718,2003,986,329
29067_0,17,281,519,488,1941,1480,859,208
29068_0,11,208,293,257,1384,897,489,177
29074_0,17,185,370,273,2337,1155,555,142
29075_0,12,595,992,978,3289,4008,2513,481
29078_0,9,177,411,333,1970,1371,753,118
29079_0,11,255,416,448,1368,1470,877,178
29081_0,11,450,760,618,2614,2242,1301,400
29084_0,12,556,832,826,2477,2641,1660,464
29085_0,0,248,192,89,43,30,22,246
29091_0,12,511,861,972,2826,3548,2343,351
29092_0,0,197,142,79,41,31,21,229
29093_0,3,415,680,684,1882,1416,965,362
29094_0,8,120,200,117,2307,623,235,100
29095_0,12,445,773,697,2676,2219,1284,350
29096_0,9,229,433,373,1603,1480,848,185
29097_0,0,278,239,94,33,12,10,279
29099_0,2,214,560,435,2800,1408,851,129
29100_0,2,566,770,867,1422,1761,1468,459
29104_0,17,427,594,588,1566,1589,1122,380
29106_0,12,469,820,822,2650,2869,1833,368
29109_0,17,248,445,398,1861,1312,746,175
29110_0,11,245,411,411,1357,1697,1166,183
29111_0,12,575,1056,1106,3308,2597,1454,373
29113_0,9,140,233,228,1170,773,434,83
29121_0,9,138,210,194,1011,838,476,85
29123_0,2,442,705,730,3060,2387,1449,359
29126_0,11,332,494,522,1197,1839,1280,284
29128_0,12,376,804,612,3587,2956,1621,294
29129_0,17,469,780,809,2961,2363,1515,396
29130_0,11,362,677,759,2779,2204,1223,271
29132_0,0,533,676,471,80,24,12,441
29133_0,8,135,124,73,419,217,98,137
29135_0,17,307,369,352,818,1284,1096,307
29137_0,0,471,552,306,49,16,9,374
29140_0,12,393,689,818,1910,2599,1612,249
29142_0,11,461,858,787,2762,2498,1440,336
29145_0,19,713,889,1113,1772,2549,1953,600
29148_0,3,355,461,427,1786,1057,607,314
29151_0,11,206,475,496,2343,1391,795,122
29155_0,0,451,380,126,47,25,17,381
29156_0,11,84,216,216,1171,808,451,20
29159_0,12,603,1017,1299,2820,3643,2541,434
29160_0,11,149,322,366,1348,1246,732,66
29162_0,17,381,771,437,4288,2087,1007,373
29163_0,17,492,656,803,1254,2073,1834,451
29164_0,8,107,256,172,2968,867,342,52
29165_0,7,162,176,138,389,411,263,171
29166_0,8,195,335,259,2213,1159,567,140
29169_0,12,446,763,781,2685,2658,1543,369
29170_0,0,437,440,187,49,19,12,391
29174_0,0,527,463,187,60,29,16,488
29176_0,12,315,502,545,1386,1887,1331,244
29178_0,8,185,351,199,2586,1160,456,152
29181_0,4,483,625,661,1495,1186,917,420
29182_0,17,331,395,423,599,602,424,318
29183_0,17,651,938,1203,1822,2725,2607,546
29184_0,0,462,522,255,54,26,12,398
29188_0,17,342,570,518,1966,1696,1063,257
29189_0,17,398,661,672,1903,1865,1271,325
29190_0,11,188,365,377,1652,1788,1090,107
29192_0,17,254,365,389,1237,1089,690,226
29194_0,11,487,862,948,2527,2643,1574,287
29195_0,3,426,593,692,1364,2013,1642,347
29196_0,16,418,643,704,2605,2210,1516,371
29200_0,12,287,567,529,2240,2231,1331,218
29203_0,17,564,785,1011,1772,2680,2172,472
29204_0,3,416,603,578,1946,2056,1352,409
29207_0,9,280,458,474,2007,1881,1150,221
29208_0,4,526,760,826,1688,1405,1048,423
29209_0,17,346,516,423,2628,1774,1019,338
29215_0,11,201,409,419,1591,1396,816,111
29218_0,4,742,1030,1081,1507,1399,1183,598
29221_0,0,298,207,92,35,16,9,327
29222_0,12,427,777,882,2400,2784,1706,299
29224_0,17,565,785,1038,1571,2099,1998,476
29228_0,9,122,162,142,414,306,181,87
